Name,Type,County,Form of government,Population,Year,latitude,longitude
Abington,Town,Plymouth,Open town meeting,"15,985",1712,42.1048228,-70.9453218
Acton,Town,Middlesex,Open town meeting,"21,924",1735,42.4850931,-71.43284
Acushnet,Town,Bristol,Open town meeting,"10,303",1860,41.6806593,-70.907816
Adams,Town,Berkshire,Representative town meeting,"8,485",1778,42.6242495,-73.117603
Agawam,City,Hampden,Mayor-council,"28,438",1855,42.0695391,-72.6148117
Alford,Town,Berkshire,Open town meeting,494,1773,42.2358616,-73.4134565
Amesbury,City,Essex,Mayor-council,"16,283",1668,42.8579536,-70.9300921
Amherst,Town,Hampshire,Representative town meeting,"37,819",1775,42.3803676,-72.523143
Andover,Town,Essex,Open town meeting,"33,201",1646,42.65717,-71.1408776
Aquinnah,Town,Dukes,Open town meeting,311,1870,41.3437229,-70.8147523
Arlington,Town,Middlesex,Representative town meeting,"42,844",1807,42.4153739,-71.1564428
Ashburnham,Town,Worcester,Open town meeting,"6,081",1765,42.636199,-71.907854
Ashby,Town,Middlesex,Open town meeting,"3,074",1767,42.6778657,-71.8203525
Ashfield,Town,Franklin,Open town meeting,"1,737",1765,42.5264745,-72.788426
Ashland,Town,Middlesex,Open town meeting,"16,593",1846,42.2612067,-71.4633956
Athol,Town,Worcester,Open town meeting,"11,584",1762,42.5959203,-72.2267497
Attleboro,City,Bristol,Mayor-council,"43,593",1694,41.9445441,-71.2856082
Auburn,Town,Worcester,Representative town meeting,"16,188",1778,42.1945385,-71.8356271
Avon,Town,Norfolk,Open town meeting,"4,356",1888,42.1306554,-71.0411582
Ayer,Town,Middlesex,Open town meeting,"7,427",1871,42.5612021,-71.5897897
Barnstable,City,Barnstable,Council-manager,"45,193",1638,41.7001132,-70.2994666
Barre,Town,Worcester,Open town meeting,"5,398",1774,42.4228679,-72.1050787
Becket,Town,Berkshire,Open town meeting,"1,779",1765,42.3320317,-73.0828803
Bedford,Town,Middlesex,Open town meeting,"13,320",1729,42.4917301,-71.2817947
Belchertown,Town,Hampshire,Open town meeting,"14,649",1761,42.2722584,-72.3944129905602
Bellingham,Town,Norfolk,Open town meeting,"16,332",1719,42.0869493,-71.4746436
Belmont,Town,Middlesex,Representative town meeting,"24,729",1859,42.3959296,-71.1786655
Berkley,Town,Bristol,Open town meeting,"6,411",1735,41.8459347,-71.0828222
Berlin,Town,Worcester,Open town meeting,"2,866",1812,42.381204,-71.6370121
Bernardston,Town,Franklin,Open town meeting,"2,129",1762,42.6709176,-72.5495336
Beverly,City,Essex,Mayor-council,"39,502",1668,42.5584284,-70.8800491
Billerica,Town,Middlesex,Representative town meeting,"40,243",1655,42.5584264,-71.268947
Blackstone,Town,Worcester,Open town meeting,"9,026",1845,42.0178758,-71.5411738
Blandford,Town,Hampden,Open town meeting,"1,233",1741,42.1806463,-72.9273224
Bolton,Town,Worcester,Open town meeting,"4,897",1738,42.4334258,-71.6078449
Boston,City,Suffolk,Mayor-council,"6,17,594",1630,42.3604823,-71.0595678
Bourne,Town,Barnstable,Open town meeting,"19,754",1884,41.7412166,-70.5989196
Boxborough,Town,Middlesex,Open town meeting,"4,996",1835,42.4934474,-71.5141044
Boxford,Town,Essex,Open town meeting,"7,965",1685,42.6778091,-71.0013691480837
Boylston,Town,Worcester,Open town meeting,"4,355",1785,42.3917592,-71.7036807
Braintree,City,Norfolk,Mayor-council,"35,744",1640,42.2223218,-70.999492
Brewster,Town,Barnstable,Open town meeting,"9,820",1803,41.7601093,-70.082796
Bridgewater,City,Plymouth,Council-manager,"26,563",1656,41.9903787,-70.9750426
Brimfield,Town,Hampden,Open town meeting,"3,609",1731,42.1228721,-72.2009117
Brockton,City,Plymouth,Mayor-council,"93,810",1821,42.0834335,-71.0183787
Brookfield,Town,Worcester,Open town meeting,"3,390",1718,42.2139817,-72.1022991
Brookline,Town,Norfolk,Representative town meeting,"58,732",1705,42.3317642,-71.1211635
Buckland,Town,Franklin,Open town meeting,"1,902",1779,42.592307,-72.7917601
Burlington,Town,Middlesex,Representative town meeting,"24,498",1799,42.5048167,-71.1956111
Cambridge,City,Middlesex,Mayor-manager-council,"1,05,162",1636,42.3750997,-71.1056157
Canton,Town,Norfolk,Open town meeting,"21,561",1797,42.1584324,-71.1447732
Carlisle,Town,Middlesex,Open town meeting,"4,852",1780,42.5292597,-71.3495046
Carver,Town,Plymouth,Open town meeting,"11,509",1790,41.8834363,-70.7625376
Charlemont,Town,Franklin,Open town meeting,"1,266",1765,42.627862,-72.8698183
Charlton,Town,Worcester,Open town meeting,"12,981",1775,42.13565,-71.970074
Chatham,Town,Barnstable,Open town meeting,"6,125",1712,41.6820563,-69.9597376
Chelmsford,Town,Middlesex,Representative town meeting,"33,802",1655,42.5998139,-71.3672838
Chelsea,City,Suffolk,Council-manager,"35,177",1739,42.3917638,-71.0328284
Cheshire,Town,Berkshire,Open town meeting,"3,235",1793,42.5620278,-73.162881
Chester,Town,Hampden,Open town meeting,"1,337",1765,42.2792551,-72.978712
Chesterfield,Town,Hampshire,Open town meeting,"1,222",1762,42.3917542,-72.8398247
Chicopee,City,Hampden,Mayor-aldermen,"55,298",1848,42.1487043,-72.6078672
Chilmark,Town,Dukes,Open town meeting,866,1714,41.3431688,-70.7447501
Clarksburg,Town,Berkshire,Open town meeting,"1,702",1798,42.72672585,-73.1091078895877
Clinton,Town,Worcester,Open town meeting,"13,606",1850,42.4199632,-71.6859507
Cohasset,Town,Norfolk,Open town meeting,"7,542",1775,42.2417675,-70.8036544
Colrain,Town,Franklin,Open town meeting,"1,671",1761,42.6731396,-72.6967587
Concord,Town,Middlesex,Open town meeting,"17,668",1635,42.4605189,-71.3488963
Conway,Town,Franklin,Open town meeting,"1,897",1775,42.5098085,-72.6995349
Cummington,Town,Hampshire,Open town meeting,872,1779,42.461753,-72.8939848
Dalton,Town,Berkshire,Open town meeting,"6,756",1784,42.4736959,-73.1662138
Danvers,Town,Essex,Representative town meeting,"26,493",1775,42.5750946,-70.9300507
Dartmouth,Town,Bristol,Representative town meeting,"34,032",1664,41.5942684,-70.979441725744
Dedham,Town,Norfolk,Representative town meeting,"24,729",1636,42.2417653,-71.166164
Deerfield,Town,Franklin,Open town meeting,"5,125",1677,42.5453345,-72.6046809
Dennis,Town,Barnstable,Open town meeting,"14,207",1793,41.7353872,-70.1939087
Dighton,Town,Bristol,Open town meeting,"7,086",1712,41.8139905,-71.1203229
Douglas,Town,Worcester,Open town meeting,"8,471",1775,42.0542638,-71.7395136
Dover,Town,Norfolk,Open town meeting,"5,589",1836,42.2459311,-71.2828342
Dracut,Town,Middlesex,Open town meeting,"29,457",1701,42.6703687,-71.3020052
Dudley,Town,Worcester,Open town meeting,"11,390",1732,42.0450964,-71.930073
Dunstable,Town,Middlesex,Open town meeting,"3,179",1673,42.6750898,-71.4828433
Duxbury,Town,Plymouth,Open town meeting,"15,059",1637,42.0417695,-70.672259
East Bridgewater,Town,Plymouth,Open town meeting,"13,794",1823,42.0334341,-70.9592096
East Brookfield,Town,Worcester,Open town meeting,"2,183",1920,42.2278703,-72.0467424
East Longmeadow,Town,Hampden,Open town meeting,"15,720",1894,42.0645396,-72.5125863
Eastham,Town,Barnstable,Open town meeting,"4,956",1646,41.8301081,-69.973907
Easthampton,City,Hampshire,Mayor-council,"16,053",1809,42.266757,-72.66898
Easton,Town,Bristol,Open town meeting,"23,112",1725,42.0245442,-71.1286594
Edgartown,Town,Dukes,Open town meeting,"4,067",1671,41.3890052,-70.5133599
Egremont,Town,Berkshire,Open town meeting,"1,225",1775,42.1676,-73.4439752878096
Erving,Town,Franklin,Open town meeting,"1,800",1838,42.6000863,-72.3981416
Essex,Town,Essex,Open town meeting,"3,504",1819,42.629142,-70.8664947
Everett,City,Middlesex,Mayor-council-aldermen,"41,667",1870,42.40843,-71.0536625
Fairhaven,Town,Bristol,Representative town meeting,"15,873",1812,41.6376043,-70.9036487
Fall River,City,Bristol,Mayor-council,"88,857",1803,41.7010642,-71.1546367
Falmouth,Town,Barnstable,Representative town meeting,"31,531",1686,41.5514979,-70.6147519
Fitchburg,City,Worcester,Mayor-council,"40,318",1764,42.5834228,-71.8022956
Florida,Town,Berkshire,Open town meeting,752,1805,42.6667956,-73.0112117
Foxborough,Town,Norfolk,Open town meeting,"16,865",1778,42.0653768,-71.2478308
Framingham,Town,Middlesex,Representative town meeting,"68,318",1700,42.2792625,-71.416172
Franklin,City,Norfolk,Council-administrator,"31,635",1778,42.5896205,-72.6110645
Freetown,Town,Bristol,Open town meeting,"8,870",1683,41.7643995,-71.0093403102867
Gardner,City,Worcester,Mayor-council,"20,228",1785,42.5750883,-71.998133
Georgetown,Town,Essex,Open town meeting,"8,183",1838,42.7250918,-70.9911659
Gill,Town,Franklin,Open town meeting,"1,500",1793,42.6403629,-72.4995325
Gloucester,City,Essex,Mayor-council,"28,789",1642,42.6159286,-70.6619888
Goshen,Town,Hampshire,Open town meeting,"1,054",1781,42.4403646,-72.7995377
Gosnold,Town,Dukes,Open town meeting,75,1864,41.4511793,-70.8517769948637
Grafton,Town,Worcester,Open town meeting,"17,765",1735,42.2070392,-71.6856237
Granby,Town,Hampshire,Open town meeting,"6,240",1768,42.2564807,-72.5161983
Granville,Town,Hampden,Open town meeting,"1,566",1775,42.0667605,-72.8614874
Great Barrington,Town,Berkshire,Open town meeting,"7,104",1761,42.1937297,-73.3633631
Greenfield,City,Franklin,Mayor-council,"17,456",1775,42.5877962,-72.6006199
Groton,Town,Middlesex,Open town meeting,"10,646",1655,42.6112242,-71.5745402
Groveland,Town,Essex,Open town meeting,"6,459",1850,42.7603688,-71.0314451
Hadley,Town,Hampshire,Open town meeting,"5,250",1661,42.3417565,-72.5884222
Halifax,Town,Plymouth,Open town meeting,"7,518",1734,41.991213,-70.861985
Hamilton,Town,Essex,Open town meeting,"7,764",1793,42.6362052,-70.8431049
Hampden,Town,Hampden,Open town meeting,"5,139",1878,42.1285315,-72.6063441
Hancock,Town,Berkshire,Open town meeting,717,1776,42.543138,-73.3237182
Hanover,Town,Plymouth,Open town meeting,"13,879",1727,42.1131572,-70.8119859
Hanson,Town,Plymouth,Open town meeting,"10,209",1820,42.0751013,-70.8800423
Hardwick,Town,Worcester,Open town meeting,"2,990",1739,42.3494042,-72.1989458
Harvard,Town,Worcester,Open town meeting,"6,520",1732,42.36782045,-71.1266665287448
Harwich,Town,Barnstable,Open town meeting,"12,243",1694,41.6862224,-70.0758508
Hatfield,Town,Hampshire,Open town meeting,"3,279",1670,42.3709616,-72.5966543
Haverhill,City,Essex,Mayor-council,"60,879",1641,42.7777829,-71.0767724
Hawley,Town,Franklin,Open town meeting,337,1792,42.5645294,-72.8778734
Heath,Town,Franklin,Open town meeting,706,1785,42.673417,-72.8217618
Hingham,Town,Plymouth,Open town meeting,"22,157",1635,42.2417669,-70.8897676
Hinsdale,Town,Berkshire,Open town meeting,"2,032",1804,42.4382527,-73.1253056
Holbrook,Town,Norfolk,Representative town meeting,"10,791",1872,42.1550999,-71.0086576
Holden,Town,Worcester,Open town meeting,"17,346",1741,42.3517586,-71.8634062
Holland,Town,Hampden,Open town meeting,"2,481",1835,42.0639841,-72.1572995
Holliston,Town,Middlesex,Open town meeting,"13,547",1724,42.2000966,-71.4245049
Holyoke,City,Hampden,Mayor-council,"39,880",1850,42.2045965,-72.6155062
Hopedale,Town,Worcester,Open town meeting,"5,911",1886,42.1306522,-71.5411747
Hopkinton,Town,Middlesex,Open town meeting,"14,925",1715,42.2288427,-71.5195534
Hubbardston,Town,Worcester,Open town meeting,"4,382",1775,42.4737009,-72.0061877
Hudson,Town,Middlesex,Open town meeting,"19,063",1866,42.3913088,-71.5678236
Hull,Town,Plymouth,Open town meeting,"10,293",1644,42.3020436,-70.9078243
Huntington,Town,Hampshire,Open town meeting,"2,180",1775,42.2344007,-72.8799146
Ipswich,Town,Essex,Open town meeting,"13,175",1634,42.679273,-70.8411583
Kingston,Town,Plymouth,Open town meeting,"12,629",1726,41.9945473,-70.7244822
Lakeville,Town,Plymouth,Open town meeting,"10,602",1853,41.8459353,-70.9494854
Lancaster,Town,Worcester,Open town meeting,"8,055",1653,42.4556475,-71.6731246
Lanesborough,Town,Berkshire,Open town meeting,"3,091",1765,42.5173058,-73.2281596
Lawrence,City,Essex,Mayor-council,"76,377",1847,42.7070354,-71.1631137
Lee,Town,Berkshire,Representative town meeting,"5,943",1777,42.3042537,-73.2481616
Leicester,Town,Worcester,Open town meeting,"10,970",1714,42.245926,-71.9086843
Lenox,Town,Berkshire,Open town meeting,"5,025",1775,42.356475,-73.2848289
Leominster,City,Worcester,Mayor-council,"40,759",1740,42.5250906,-71.759794
Leverett,Town,Franklin,Open town meeting,"1,851",1774,42.4521433,-72.5012367
Lexington,Town,Middlesex,Representative town meeting,"31,394",1713,42.4473175,-71.2245003
Leyden,Town,Franklin,Open town meeting,711,1809,42.7000837,-72.630091
Lincoln,Town,Middlesex,Open town meeting,"6,362",1754,42.4259283,-71.3039469
Littleton,Town,Middlesex,Open town meeting,"8,924",1715,42.5375917,-71.5120096
Longmeadow,Town,Hampden,Open town meeting,"15,784",1783,42.0500953,-72.5828662
Lowell,City,Middlesex,Mayor-manager-council,"1,06,519",1826,42.6334247,-71.3161718
Ludlow,Town,Hampden,Representative town meeting,"21,103",1775,42.1600936,-72.475919
Lunenburg,Town,Worcester,Open town meeting,"10,086",1728,42.5945342,-71.724516
Lynn,City,Essex,Mayor-council,"90,329",1629,42.466763,-70.9494939
Lynnfield,Town,Essex,Open town meeting,"11,596",1814,42.5389836,-71.0481084
Malden,City,Middlesex,Mayor-council,"59,450",1649,42.4250964,-71.066163
Manchester-by-the-Sea,Town,Essex,Open town meeting,"5,136",1645,42.577873,-70.7689354
Mansfield,Town,Bristol,Open town meeting,"23,184",1775,42.0334326,-71.2189405
Marblehead,Town,Essex,Open town meeting,"19,808",1649,42.500096,-70.8578253
Marion,Town,Plymouth,Open town meeting,"4,907",1852,41.7001043,-70.7628129
Marlborough,City,Middlesex,Mayor-council,"38,499",1660,42.3459271,-71.5522874
Marshfield,Town,Plymouth,Open town meeting,"25,132",1640,42.091769,-70.7055941
Mashpee,Town,Barnstable,Open town meeting,"14,006",1870,41.6484421,-70.4811383
Mattapoisett,Town,Plymouth,Open town meeting,"6,045",1857,41.658438,-70.8161468
Maynard,Town,Middlesex,Open town meeting,"10,106",1871,42.4321064,-71.4539683
Medfield,Town,Norfolk,Open town meeting,"12,024",1651,42.1865609,-71.30546
Medford,City,Middlesex,Mayor-council,"56,173",1630,42.4184296,-71.1061639
Medway,Town,Norfolk,Open town meeting,"12,752",1713,42.1417641,-71.3967256
Melrose,City,Middlesex,Mayor-aldermen,"26,983",1850,42.4564323,-71.064182
Mendon,Town,Worcester,Open town meeting,"5,839",1667,42.1056525,-71.5522859
Merrimac,Town,Essex,Open town meeting,"6,338",1876,42.8306456,-71.0022786
Methuen,City,Essex,Mayor-council,"47,255",1725,42.7262016,-71.1908924
Middleborough,Town,Plymouth,Open town meeting,"23,116",1669,41.8931576,-70.9111517
Middlefield,Town,Hampshire,Open town meeting,521,1783,42.3484207,-73.0151011
Middleton,Town,Essex,Open town meeting,"8,987",1728,42.5950939,-71.0161643
Milford,Town,Worcester,Representative town meeting,"27,999",1780,42.1398188,-71.516174
Millbury,Town,Worcester,Open town meeting,"13,261",1813,42.1939835,-71.7600702
Millis,Town,Norfolk,Open town meeting,"7,891",1885,42.1675975,-71.3578357
Millville,Town,Worcester,Open town meeting,"3,190",1916,42.0278756,-71.5808973
